year,population_1jan_persons,gdp_const2015_usd,gdp_pc_const2015_usd,record_type,source
1995,109367384,154601400724.996,1413.596952,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
1996,112271472,161088358074.5,1434.811134,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
1997,115238085,165819683303.955,1438.931264,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
1998,118271498,170099910681.009,1438.215577,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
1999,121421011,171093510004.065,1409.09311,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2000,124673629,179675448843.378,1441.16643,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2001,128091359,190308075298.043,1485.721416,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2002,131633830,219480696548.107,1667.357825,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2003,135310147,235606371240.474,1741.232099,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2004,139095142,257401275803.854,1850.541091,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2005,143018948,273974099482.97,1915.648963,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2006,147015559,290575362867.529,1976.49395,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2007,151139108,309727563830.114,2049.288023,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2008,155395414,330679000570.877,2127.984295,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2009,159794614,357255424171.506,2235.716306,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2010,164304314,385856064172.751,2348.423208,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2011,168981457,406337011591.485,2404.624855,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2012,173777738,423525315758.166,2437.166697,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2013,178623511,451780110047.004,2529.230937,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2014,183475375,480286163931.207,2617.714578,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2015,188318455,493026682800.63,2618.047619,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2016,193025301,485055087455.971,2512.90937,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2017,197862099,488964081501.001,2471.236705,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2018,202647058,498365674277.795,2459.279099,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2019,207230451,509371727741.802,2457.996522,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2020,211740831,476930359899.737,2252.425088,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2021,216251531,482220722032.144,2229.906627,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2022,220807042,503047012789.736,2278.219971,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2023,225494749,519727567204.567,2304.832239,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2024,230271141,540886022091.974,2348.909289,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2025,235087814,562593735122.067,2393.121641,observed,"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
2026,239967749,590723421878,2461.678389,file projection (5%/yr GDP growth; not used by the model),"Population: UN WPP 2024 (1 January); GDP: WDI NY.GDP.MKTP.KD. File: raw_data/Base_Macro-Economic_and_Demographic_Data_Projections.xlsx, sheet 1, cols A, C, N, P"
