year,gdp_pc_ppp_current_intl_usd,series,source_url,retrieved
1990,2839.8433095583778,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
1995,2835.289122508548,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2000,3138.9913891040123,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2005,4678.091632451733,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2010,6301.183725447909,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2011,6585.361932710349,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2012,6670.838262436268,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2013,7004.131195544767,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2014,7396.1283553294725,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2015,7307.837881889246,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2016,7072.496933723108,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2017,7036.6741437238725,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2018,7158.17107571781,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2019,7551.393803671918,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2020,7414.774955404803,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2021,7588.47885596359,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2022,8304.958105035297,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2023,8705.434266935388,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
2024,9086.875506096267,"NY.GDP.PCAP.PP.CD (UNdata WDI mirror, updated 2026-02-25)",http://data.un.org/Data.aspx?q=nigeria+gdp&d=WDI&f=Indicator_Code%3ANY.GDP.PCAP.PP.CD%3BCountry_Code%3ANGA,2026-09-21
